order_id,order_date,region,category,customer,units,unit_price,discount
1001,2024-01-05,West,Electronics,Alice,3,120.50,0.10
1002,2024-01-07,East,Furniture,Bob,1,340.00,0.00
1003,2024-01-12,West,Electronics,Carol,2,89.99,0.05
1004,2024-01-15,South,Office Supplies,Dave,10,4.25,0.00
1005,2024-01-20,East,Furniture,Alice,2,250.00,0.15
1006,2024-02-02,North,Electronics,Eve,1,999.00,0.20
1007,2024-02-05,West,Office Supplies,Frank,5,3.10,0.00
1008,2024-02-10,South,Electronics,Grace,,150.00,0.10
1009,2024-02-14,North,Furniture,Heidi,1,410.00,0.00
1010,2024-02-19,East,Electronics,Ivan,4,60.00,0.05
1011,2024-03-01,West,Furniture,Judy,1,275.00,0.10
1012,2024-03-06,South,Office Supplies,Alice,8,3.75,0.00
1013,2024-03-11,North,Electronics,Bob,2,145.00,0.00
1014,2024-03-15,East,Furniture,Carol,3,199.99,0.05
1015,2024-03-22,West,Electronics,Dave,1,899.00,0.15
1016,2024-04-02,South,Furniture,Eve,2,310.00,0.00
1017,2024-04-08,North,Office Supplies,Frank,12,2.99,0.00
1018,2024-04-14,East,Electronics,Grace,1,120.00,0.10
1019,2024-04-19,West,Furniture,Heidi,,260.00,0.00
1020,2024-04-25,South,Electronics,Ivan,3,79.99,0.05
